claim_id,label_class,neuroclaw_raw_decision,neuroclaw_alone_decision,confirm_final_label,confirm_layer_decision
ad_hippocampal_atrophy_adni_oasis3,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
ad_smri_adni_oasis3,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
ad_brainwide_smri_adni_oasis3,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
brainwide_adni_oasis_ad_signature,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
sz_fc_within_cobre_fbirn,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
injected_null_random_hcp,known_null,AMBIGUOUS,NO-EFFECT,fragile,ABSTAIN
injected_null_random_abcd,known_null,CONFIRMS,CONFIRMS,fragile,ABSTAIN
injected_null_fishing_abide2,known_null,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
injected_null_fishing_adhd200,known_null,AMBIGUOUS,NO-EFFECT,fragile,ABSTAIN
injected_null_site_abcd,known_null,CONFIRMS,CONFIRMS,fragile,ABSTAIN
injected_null_site_ukb,known_null,CONFIRMS,CONFIRMS,fragile,ABSTAIN
asd_fc_abide2_abcd,fragile,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
asd_fc_abide1_site_split,fragile,AMBIGUOUS,NO-EFFECT,fragile,ABSTAIN
underpowered_asd_site_abide2,fragile,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
sex_smri_hippocampus_gsp_adni_cn,fragile,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
ad_entorhinal_atrophy_adni_oasis3,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
ad_midtemp_atrophy_adni_oasis3,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
ad_wholebrain_atrophy_adni_oasis3,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
brain_aging_hippocampus_adni_oasis3_cn,known_positive,AMBIGUOUS,NO-EFFECT,confirmed,ABSTAIN
sz_fc_mean_abs_cobre_fbirn,known_positive,CONFIRMS,CONFIRMS,confirmed,CONFIRMS
injected_null_random_cobre,known_null,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
injected_null_random_fbirn,known_null,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
injected_null_site_cobre,known_null,CONFIRMS,CONFIRMS,fragile,ABSTAIN
injected_null_site_gsp_smri,known_null,CONFIRMS,CONFIRMS,fragile,ABSTAIN
asd_fc_mean_abs_abide1_site_split,fragile,NO-EFFECT,NO-EFFECT,fragile,ABSTAIN
